Nama Sekuritas UW,Kode UW,Saham yang pernah dikawal dengan UW tunggal,Saham yang pernah dikawal dengan UW konsorsium
 Shinhan Sekuritas Indonesia ,AH,"KETR,SOUL,IRSX,PIPA,MAXI,INET,LMAX,RSCH,AEGS,SURI","DADA,JATI,IOTF,DGWG"
 UOB Kay Hian Sekuritas ,AI,"ZATA,ISAP,SUNI,GTRA,RELF,BABY,KOKA,AYAM,ACRO,DATA,SOLA,VERN,KSIX","DADA,BBSI,PADA,RAAM,HGII,NCKL,NICE,CBUT,ARCI"
 UBS Sekuritas Indonesia ,AK,,"CMNT,MBMA,CNMA,AVIA"
 Wanteg Sekuritas ,AN,,"FIMP,MKTR"
 Erdikha Elit Sekuritas ,AO,"SMKM,VAST,GRIA,RGAS","HOMI,PADA,TOSK,SMIL,BHAT,RMKE,ESTA,BESS,CARE,ATAP"
 Pacific Sekuritas Indonesia ,AP,,"ESTA,BESS,CARE"
 Binaartha Sekuritas ,AR,,"BBSI,DEWI,JARR"
 Sucor Sekuritas ,AZ,,"MORA,AWAN,RAAM,RATU,DRMA,HILL,NSSS,MBMA,ADCP,GOTO"
 Morgan Sekuritas Indonesia ,BK,,"CNMA,MTEL"
 Korea Investment And Sekuritas Indonesia ,BQ,PMUI,"ASHA,UDNG"
 Mandiri Sekuritas ,CC,,"MDIY,YUPI,MDLA,FORE,CMNT,CMRY,PGEO,NCKL,AMMN,CNMA,ARCI,AVIA,MTEL,BELI,GOTO,BUKA"
 Mega Capital Sekuritas ,CD,,VTNY
 KB Valbury Sekuritas ,CP,ISEA,"RAFI,IOTF,PART,MKTR,SMIL,NICE,ASPI,GOLF,WMUU,MTEL,BELI,GOTO,KBAG"
 Credit Suisse Sekuritas Indonesia ,CS,,"PGEO,NCKL,ARCI,AVIA,GOTO"
 Sinarmas Sekuritas ,DH,,"PMMP,BUKA"
 DBS Vickers Sekuritas Indonesia ,DP,,"STAA,AMMN,CDIA,BELI"
 RHB Sekuritas Indonesia ,DR,"MPIX,KAQI",HOMI
 Bahana Sekuritas ,DX,,BUKA
 MNC Sekuritas ,EP,"MSIE,SMLE,MEJA,BAIK,SPRE,NAIK,DKHH","UDNG,TOSK,PART,DRMA,SMIL"
 Yuanta Sekuritas Indonesia ,FS,,"HOPE,WINR,BSBK"
 Waterfront Sekuritas Indonesia ,FZ,,"NICL,WMUU,KBAG"
 Panin Sekuritas Tbk ,GR,"CBPE,MPXL,KLAS,AREA,GUNA","PGUN,LABA,CMRY,AMAN,BHAT,ESTA,BESS,CARE,ATAP,ADCP,SOFA,WMUU,MTEL,GOTO,KBAG,BUKA"
 HSBC Sekuritas Indonesia ,GW,,MTEL
 KGI Sekuritas Indonesia ,HD,"SBMA,OBMD,CRAB,HYGN,BATR,NEST","TAYS,IPPE,ASHA,DEWI,BMBL,DOOH,JATI,FOLK,BSBK,AMAN,ATAP,SOFA,KBAG"
 Henan Putihrai Sekuritas ,HP,DAAZ,"MGLV,CUAN,RATU,FORE,LFLO,CDIA,NICL,SOFA,KBAG"
 Samuel Sekuritas Indonesia ,IF,"LIVE,DOSS","AWAN,FOLK,ALII,NSSS,VKTR,DGWG,GOLF,WMUU,MTEL,BUKA"
 Danatama Makmur Sekuritas ,II,"BSML,OLIV,EURO,HALO,SAGE","SAMF,HOPE,MGLV,NTBK,UFOE,LFLO,MKTR,NICL,SOFA,KBAG"
 Investindo Nusantara Sekuritas ,IN,,"RAFI,PGUN,UFOE,ASPI,JARR,MTEL,BUKA"
 Yugen Bertumbuh Sekuritas ,IP,,"ADCP,KBAG"
 INDO CAPITAL SEKURITAS (IU) ,IU,"LUCY,KRYA,AMMS,FUTR,MENN,PPRI","SGER,IDEA,DOOH,LABA,BINO,RMKE"
 Ciptadana Sekuritas Asia ,KI,"BMHS,ADMR,WIRG,COIN","TAPG,ASLC,MTMH,ALII,CMNT,OMED,VKTR,BUKA"
 Phillip Sekuritas Indonesia ,KK,,"IDEA,BINO,RMKE,BUKA"
 Clsa Sekuritas Indonesia ,KZ,,"CMRY,OMED,PGEO,AMMN,GOTO"
 Trimegah Sekuritas Indonesia Tbk ,LG,"MAHA,MUTU,AADI,CBDK,MINE","TAPG,ASLC,PSAT,BIKE,VKTR,NICE,GOLF,AVIA,CDIA,GOTO"
 Reliance Sekuritas Indonesia Tbk ,LS,"BUAH,HUMI,YOII","MSJA,LFLO,LABA,ATAP,NICL,SOFA,KBAG"
 Semesta Indovest Sekuritas ,MG,"PDPP,BDKR,TGUK","SGER,BINO,GOLF,RMKE"
 Victoria Sekuritas Indonesia ,MI,"TYRE,RMKO,SMGA","NINE,RMKE"
 Ekuator Swarna Sekuritas ,MK,,"BHAT,ESTA,BESS,CARE"
 Minna Padi Investama Sekuritas Tbk ,MU,,"AMAN,KBAG"
 BNI Sekuritas ,NI,BREN,"ZYRX,TLDN,AXIO,MORA,ERAL,ARCI,CDIA,BELI,GOTO,BUKA"
 BRI Danareksa Sekuritas ,OD,BOAT,"RUNS,CUAN,MSJA,UNTD,NSSS,DGWG,CBUT,VTNY,WMUU,MTEL,BELI,BUKA"
 Indo Premier Sekuritas ,PD,"PRAY,MSTI","MDLA,MBMA,BELI,GOTO"
 Danasakti Sekuritas Indonesia ,PF,,"AVIA,WMUU,MTEL,BELI"
 Panca Global Sekuritas ,PG,MANG,"PGUN,UFOE,ASPI,WINR,JARR,BSBK,NICL,WMUU"
 Pilarmas Investindo Sekuritas ,PO,CGAS,#N/A
 Aldiracita Sekuritas Indonesia ,PP,,GOTO
 Buana Capital Sekuritas ,RF,"DCII,MCOL,RSGK",BUKA
 Profindo Sekuritas Indonesia ,RG,PTMR,"AMAN,BHAT,ESTA,BESS,CARE,ATAP"
 Nilai Inti Sekuritas ,RO,,"NICL,SOFA,GOTO,KBAG"
 Yulie Sekuritas Indonesia Tbk ,RS,,"ADCP,WMUU,MTEL,BELI"
 Macquarie Sekuritas Indonesia ,RX,,HILL
 Elit Sukses Sekuritas ,SA,"RCCC,KLIN,LOPI,GRPH",#N/A
 Surya Fajar Sekuritas ,SF,"COAL,NAYZ,TRON,HAJJ,VISI","SAMF,GPSO,NTBK,IBOS,UVCR,VTNY,SOFA"
 Artha Sekuritas Indonesia ,SH,"WIDI,KOCI,STRK,ATLA","WINR,BSBK,AMAN,ATAP,NICL,KBAG"
 BCA Sekuritas ,SQ,"FAPA,EDGE,MASB,BLOG","MTMH,PSAT,CDIA,BELI,BUKA"
 OCBC Sekuritas Indonesia ,TP,IKPM,"HGII,CDIA"
 NH Korindo Sekuritas Indonesia ,XA,"SICO,CHEM,HATM,ELIT,LAJU,PACK,KING,PTMP,GRPM,CRSN,PTPS,ASLI,MHKI,BRRC,ASPR","GPSO,TAYS,IBOS,UVCR,BIKE,ASPI,KBAG"
 Jasa Utama Capital Sekuritas ,YB,,"BHAT,ESTA,BESS,CARE"
 Lotus Andalan Sekuritas ,YJ,"PEVE,FWCT,CHIP,HBAT,MKAP,BLES,LABS,CHEK,MERI","ARKO,JARR,BUKA"
 Mirae Asset Sekuritas Indonesia ,YP,"KKES,TOOL,MMIX,CYBR","TRIN,PMMP,ZYRX,RUNS,IPPE,ARKO,BMBL,ERAL,UNTD,UVCR,BIKE,HILL,WINR,CBUT,VTNY,ADCP,SOFA,KBAG,BUKA"
 CGS-CIMB Sekuritas Indonesia ,YU,SCNP,"STAA,TLDN,AXIO,DRMA,OMED,ADCP,WMUU,GOTO"